beach_distance_category,amenity,listings_with,listings_without,median_with,median_without,median_diff,premium_pct,avg_with,avg_without,avg_diff
01_premium_frente_mar,long_term_allowed,95,189,750.0,650.0,100.0,15.38,857.95,795.08,62.86
01_premium_frente_mar,pet_friendly,132,152,700.0,650.0,50.0,7.69,829.71,804.3,25.41
01_premium_frente_mar,has_outdoor_area,162,122,700.0,650.0,50.0,7.69,833.91,792.47,41.44
01_premium_frente_mar,has_security,183,101,668.67,650.0,18.67,2.87,811.26,824.9,-13.64
01_premium_frente_mar,has_bathroom_items,259,25,662.0,650.0,12.0,1.85,825.61,717.66,107.96
01_premium_frente_mar,has_elevator,210,74,661.0,666.27,-5.27,-0.79,812.66,825.9,-13.24
01_premium_frente_mar,has_self_checkin,57,227,650.0,662.0,-12.0,-1.81,794.9,821.44,-26.54
01_premium_frente_mar,has_home_office,201,83,659.55,700.0,-40.45,-5.78,806.71,838.89,-32.18
01_premium_frente_mar,has_barbecue,254,30,656.27,701.0,-44.73,-6.38,817.58,803.66,13.92
02_alta_proximidade_ate_200m,has_barbecue,184,40,588.0,399.5,188.5,47.18,641.13,536.61,104.52
02_alta_proximidade_ate_200m,has_elevator,141,83,600.0,450.0,150.0,33.33,659.13,560.18,98.95
02_alta_proximidade_ate_200m,has_home_office,138,86,595.0,486.75,108.25,22.24,632.36,606.6,25.76
02_alta_proximidade_ate_200m,has_bathroom_items,197,27,564.0,490.0,74.0,15.1,627.06,588.99,38.07
02_alta_proximidade_ate_200m,long_term_allowed,85,139,585.0,520.0,65.0,12.5,598.24,637.28,-39.05
02_alta_proximidade_ate_200m,has_security,127,97,550.0,550.0,0.0,0.0,623.41,621.23,2.18
02_alta_proximidade_ate_200m,has_self_checkin,47,177,520.0,553.0,-33.0,-5.97,584.16,632.64,-48.48
02_alta_proximidade_ate_200m,pet_friendly,121,103,520.0,578.0,-58.0,-10.03,596.14,653.4,-57.26
02_alta_proximidade_ate_200m,has_outdoor_area,139,85,520.0,590.0,-70.0,-11.86,596.37,665.15,-68.79
03_media_proximidade_201m_500m,has_barbecue,284,72,500.0,401.0,99.0,24.69,629.52,667.52,-38.0
03_media_proximidade_201m_500m,pet_friendly,172,184,524.5,450.0,74.5,16.56,703.01,575.7,127.31
03_media_proximidade_201m_500m,has_elevator,221,135,500.0,480.0,20.0,4.17,652.87,611.57,41.29
03_media_proximidade_201m_500m,has_self_checkin,64,292,500.0,499.5,0.5,0.1,618.04,641.41,-23.37
03_media_proximidade_201m_500m,has_outdoor_area,211,145,500.0,500.0,0.0,0.0,626.96,652.12,-25.16
03_media_proximidade_201m_500m,has_bathroom_items,305,51,500.0,500.0,0.0,0.0,602.72,843.44,-240.72
03_media_proximidade_201m_500m,has_home_office,248,108,498.5,509.0,-10.5,-2.06,581.62,764.85,-183.23
03_media_proximidade_201m_500m,long_term_allowed,136,220,484.0,500.0,-16.0,-3.2,565.75,681.38,-115.63
03_media_proximidade_201m_500m,has_security,219,137,480.0,500.0,-20.0,-4.0,664.24,593.99,70.25
05_sem_informacao,has_barbecue,74,23,601.0,450.0,151.0,33.56,813.84,546.31,267.53
05_sem_informacao,has_home_office,65,32,600.0,500.0,100.0,20.0,672.44,908.76,-236.32
05_sem_informacao,has_elevator,46,51,600.5,516.0,84.5,16.38,890.37,624.16,266.21
05_sem_informacao,has_self_checkin,25,72,604.33,547.5,56.83,10.38,601.78,802.01,-200.22
05_sem_informacao,long_term_allowed,31,66,600.0,547.5,52.5,9.59,624.43,809.57,-185.14
05_sem_informacao,pet_friendly,42,55,591.0,545.0,46.0,8.44,902.8,634.03,268.77
05_sem_informacao,has_security,59,38,545.0,626.16,-81.16,-12.96,598.57,986.15,-387.58
05_sem_informacao,has_outdoor_area,56,41,511.0,600.0,-89.0,-14.83,806.76,673.43,133.34
05_sem_informacao,has_bathroom_items,75,22,545.0,653.5,-108.5,-16.6,769.42,685.58,83.84
