beach_view,amenity,listings_with,listings_without,median_with,median_without,median_diff,premium_pct,avg_with,avg_without,avg_diff
true,has_barbecue,671,94,600.0,424.1,175.9,41.48,701.52,712.61,-11.09
true,has_elevator,518,247,600.0,500.0,100.0,20.0,719.64,667.73,51.91
true,has_home_office,565,200,598.0,545.0,53.0,9.72,681.74,762.62,-80.88
true,has_bathroom_items,688,77,590.0,550.0,40.0,7.27,692.71,793.81,-101.11
true,has_security,480,285,598.38,560.0,38.38,6.85,720.11,673.87,46.24
true,has_comfort_items,633,132,590.0,566.0,24.0,4.24,669.26,864.13,-194.87
true,pet_friendly,405,360,590.0,584.84,5.16,0.88,720.53,683.03,37.5
true,has_self_checkin,169,596,578.0,590.0,-12.0,-2.03,670.45,712.08,-41.63
true,long_term_allowed,323,442,557.0,599.5,-42.5,-7.09,664.23,731.13,-66.9
true,has_outdoor_area,514,251,553.0,600.0,-47.0,-7.83,689.5,730.28,-40.77
false,has_barbecue,155,79,585.0,450.0,135.0,30.0,718.06,553.65,164.42
false,has_elevator,117,117,599.5,465.0,134.5,28.92,713.69,611.42,102.28
false,has_comfort_items,148,86,575.0,519.0,56.0,10.79,598.21,773.3,-175.09
false,has_bathroom_items,178,56,550.0,500.0,50.0,10.0,678.97,610.38,68.59
false,pet_friendly,82,152,547.5,545.0,2.5,0.46,750.2,615.28,134.92
false,has_home_office,108,126,545.0,545.0,0.0,0.0,576.21,736.56,-160.35
false,has_self_checkin,30,204,527.5,547.5,-20.0,-3.65,572.87,675.75,-102.87
false,long_term_allowed,35,199,500.0,550.0,-50.0,-9.09,516.69,688.21,-171.52
false,has_outdoor_area,84,150,500.0,575.0,-75.0,-13.04,707.45,637.42,70.03
false,has_security,124,110,500.0,584.5,-84.5,-14.46,567.28,769.96,-202.67
