amenity,listings_with,listings_without,median_with,median_without,median_diff,premium_pct,avg_with,avg_without,avg_diff
has_barbecue,826,173,599.0,450.0,149.0,33.11,704.63,640.02,64.61
has_elevator,635,364,600.0,500.0,100.0,20.0,718.55,649.63,68.91
has_bathroom_items,866,133,582.5,523.0,59.5,11.38,689.88,716.58,-26.7
has_beach_access_or_view,765,234,590.0,545.0,45.0,8.26,702.88,662.56,40.33
has_home_office,673,326,590.0,545.0,45.0,8.26,664.8,752.55,-87.75
has_comfort_items,781,218,585.0,550.0,35.0,6.36,655.79,828.3,-172.5
pet_friendly,487,512,584.0,566.0,18.0,3.18,725.52,662.92,62.61
has_security,604,395,579.0,575.0,4.0,0.7,688.74,700.63,-11.89
has_self_checkin,199,800,550.0,580.0,-30.0,-5.17,655.74,702.81,-47.08
long_term_allowed,358,641,550.0,582.0,-32.0,-5.5,649.81,717.8,-68.0
has_outdoor_area,598,401,550.0,599.0,-49.0,-8.18,692.03,695.54,-3.52
