has_beach_access_or_view,amenity_score,listings,avg_daily_price,median_daily_price
false,2,1,153.9,170.0
false,3,1,1005.06,1000.0
false,4,5,601.99,570.0
false,5,14,691.82,622.5
false,6,20,715.42,435.0
false,7,38,656.29,475.0
false,8,38,550.44,514.5
false,9,42,843.89,566.25
false,10,45,616.69,600.0
false,11,18,549.1,560.0
false,12,9,717.02,700.0
false,13,2,449.11,450.5
false,14,1,590.41,537.0
true,5,4,754.69,561.0
true,6,9,1586.18,490.0
true,7,26,757.5,525.0
true,8,27,614.29,500.0
true,9,55,736.84,500.0
true,10,97,784.82,599.0
true,11,161,659.91,600.0
true,12,136,658.94,550.0
true,13,126,648.26,550.0
true,14,93,699.3,595.0
true,15,31,803.22,720.0
