region,median_price_per_m2,estimated_capex,projected_daily_rate,net_operating_income,roi_pct,payback_years
alto são bento,8883.97,44419850.0,700.0,5148325.0,11.59,8.63
varzea,9457.14,47285700.0,700.0,5148325.0,10.89,9.18
casa branca,10499.5,52497500.0,700.0,5148325.0,9.81,10.2
morretes,10828.57,54142850.0,700.0,5148325.0,9.51,10.52
jardim praia mar,10874.45,54372250.0,700.0,5148325.0,9.47,10.56
sertão do trombudo,11150.7,55753500.0,700.0,5148325.0,9.23,10.83
tabuleiro dos oliveiras,11571.43,57857150.0,700.0,5148325.0,8.9,11.24
"",12012.31,60061550.0,700.0,5148325.0,8.57,11.67
tabuleiro,12944.44,64722200.0,700.0,5148325.0,7.95,12.57
castelo branco,13254.11,66270550.0,700.0,5148325.0,7.77,12.87
andorinha,13973.12,69865600.0,700.0,5148325.0,7.37,13.57
canto da praia,15101.01,75505050.0,700.0,5148325.0,6.82,14.67
ilhota,15697.67,78488350.0,700.0,5148325.0,6.56,15.25
meia praia,15714.29,78571450.0,700.0,5148325.0,6.55,15.26
centro,16666.67,83333350.0,700.0,5148325.0,6.18,16.19
estreito,21282.61,106413050.0,700.0,5148325.0,4.84,20.67
