accommodates,listings,avg_daily_price,median_daily_price,avg_price_per_guest,median_price_per_guest,avg_amenity_score
2.0,64,342.68,374.34,171.34,187.17,8.45
3.0,16,337.0,362.25,112.33,120.75,8.56
4.0,120,582.06,500.0,145.52,125.0,8.52
5.0,97,503.39,460.0,100.68,92.0,9.47
6.0,285,628.94,550.0,104.82,91.67,9.18
7.0,76,647.57,600.0,92.51,85.71,9.72
8.0,211,764.56,700.0,95.57,87.5,9.47
9.0,32,705.99,650.0,78.44,72.22,9.19
10.0,36,971.81,844.5,97.18,84.45,9.56
11.0,13,1102.0,1000.0,100.18,90.91,9.15
12.0,28,1139.55,1000.0,94.96,83.33,8.93
