price_segment,beach_distance_category,listings,avg_amenity_score,median_daily_price
01_low_below_400,,2,9.0,325.0
01_low_below_400,01_premium_frente_mar,25,8.92,350.0
01_low_below_400,02_alta_proximidade_ate_200m,55,8.58,330.0
01_low_below_400,03_media_proximidade_201m_500m,108,8.86,330.0
01_low_below_400,04_baixa_proximidade_acima_500m,18,8.56,265.0
01_low_below_400,05_sem_informacao,24,8.29,326.5
02_mid_400_599,01_premium_frente_mar,72,9.26,500.0
02_mid_400_599,02_alta_proximidade_ate_200m,69,9.42,472.0
02_mid_400_599,03_media_proximidade_201m_500m,131,9.21,498.0
02_mid_400_599,04_baixa_proximidade_acima_500m,6,9.83,470.0
02_mid_400_599,05_sem_informacao,28,8.71,500.0
03_high_600_799,,4,8.5,675.0
03_high_600_799,01_premium_frente_mar,84,9.38,656.28
03_high_600_799,02_alta_proximidade_ate_200m,48,9.69,682.5
03_high_600_799,03_media_proximidade_201m_500m,61,9.52,699.0
03_high_600_799,04_baixa_proximidade_acima_500m,4,7.5,613.5
03_high_600_799,05_sem_informacao,23,9.87,680.0
04_premium_800_plus,01_premium_frente_mar,103,9.63,1000.0
04_premium_800_plus,02_alta_proximidade_ate_200m,52,9.06,990.0
04_premium_800_plus,03_media_proximidade_201m_500m,56,9.09,977.5
04_premium_800_plus,04_baixa_proximidade_acima_500m,4,8.25,1475.62
04_premium_800_plus,05_sem_informacao,22,8.09,1000.0
