accommodates,bedrooms,bathrooms,listings,median_daily_price,avg_daily_price,median_price_per_guest,avg_price_per_guest,avg_amenity_score,barbecue_rate,elevator_rate,pet_friendly_rate
10.0,4.0,3.0,10,1037.5,1229.33,103.75,122.93,10.2,0.8,1.0,0.8
12.0,4.0,3.0,10,950.0,1139.0,79.16,94.92,9.7,0.9,0.6,0.5
8.0,3.0,3.0,61,800.0,841.24,100.0,105.15,9.67,0.93,0.75,0.69
6.0,3.0,3.0,32,778.25,791.23,129.71,131.87,8.38,0.78,0.69,0.22
8.0,3.0,4.0,13,704.0,785.92,88.0,98.24,9.08,0.92,0.92,0.69
7.0,3.0,3.0,14,700.5,670.79,100.07,95.83,10.64,1.0,0.93,0.57
10.0,3.0,2.0,10,660.0,725.5,66.0,72.55,10.3,0.9,0.6,0.9
6.0,3.0,2.0,76,639.0,664.01,106.5,110.67,9.34,0.93,0.71,0.41
7.0,3.0,2.0,39,610.0,690.2,87.14,98.6,9.56,0.82,0.64,0.49
8.0,3.0,2.0,97,607.5,624.05,75.94,78.01,9.45,0.86,0.64,0.6
9.0,3.0,2.0,16,592.5,651.15,65.84,72.35,8.88,0.88,0.62,0.5
4.0,2.0,2.0,37,575.0,792.62,143.75,198.16,8.65,0.89,0.62,0.51
4.0,1.0,1.0,57,570.0,509.91,142.5,127.48,8.42,0.63,0.58,0.26
6.0,2.0,1.0,30,497.5,495.09,82.92,82.52,8.97,0.93,0.5,0.6
5.0,2.0,2.0,58,475.0,519.28,95.0,103.86,9.64,0.84,0.67,0.48
7.0,2.0,2.0,11,472.0,551.91,67.43,78.84,9.18,1.0,0.64,0.45
8.0,2.0,2.0,11,470.0,545.64,58.75,68.21,8.64,0.64,0.36,0.82
6.0,2.0,2.0,130,450.0,562.0,75.0,93.67,9.27,0.84,0.62,0.51
4.0,2.0,1.0,17,402.25,425.66,100.56,106.42,8.88,0.76,0.53,0.35
2.0,1.0,1.0,62,374.5,349.7,187.25,174.85,8.47,0.61,0.68,0.11
5.0,2.0,1.0,25,370.0,455.57,74.0,91.11,9.0,0.8,0.44,0.28
3.0,1.0,1.0,14,362.25,320.86,120.75,106.95,8.43,0.86,0.71,0.29
