region,year,airbnb_listings,vivareal_listings,airbnb_median_daily_price,projected_daily_rate,median_price_per_m2,units,unit_size_m2,total_private_area_m2,estimated_capex,gross_revenue,operating_cost,net_operating_income,roi_pct,payback_years
tabuleiro dos oliveiras,2025,20,125,625.81,625.81,11571.43,50,100,5000,57857150.0,7081040.15,2478364.05,4602676.1,7.96,12.57
morretes,2025,83,1691,490.0,490.0,10828.57,50,100,5000,54142850.0,5544350.0,1940522.5,3603827.5,6.66,15.02
meia praia,2025,632,3230,595.5,595.5,15714.29,50,100,5000,78571450.0,6738082.5,2358328.88,4379753.62,5.57,17.94
centro,2025,205,951,580.0,580.0,16666.67,50,100,5000,83333350.0,6562700.0,2296945.0,4265755.0,5.12,19.54
casa branca,2025,15,65,349.0,349.0,10499.5,50,100,5000,52497500.0,3948935.0,1382127.25,2566807.75,4.89,20.45
ilhota,2025,10,35,495.0,495.0,15697.67,50,100,5000,78488350.0,5600925.0,1960323.75,3640601.25,4.64,21.56
tabuleiro dos oliveiras,2026,20,125,625.81,675.87,11571.43,50,100,5000,57857150.0,7647523.36,2676633.18,4970890.19,8.59,11.64
morretes,2026,83,1691,490.0,529.2,10828.57,50,100,5000,54142850.0,5987898.0,2095764.3,3892133.7,7.19,13.91
meia praia,2026,632,3230,595.5,643.14,15714.29,50,100,5000,78571450.0,7277129.1,2546995.18,4730133.92,6.02,16.61
centro,2026,205,951,580.0,626.4,16666.67,50,100,5000,83333350.0,7087716.0,2480700.6,4607015.4,5.53,18.09
casa branca,2026,15,65,349.0,376.92,10499.5,50,100,5000,52497500.0,4264849.8,1492697.43,2772152.37,5.28,18.94
ilhota,2026,10,35,495.0,534.6,15697.67,50,100,5000,78488350.0,6048999.0,2117149.65,3931849.35,5.01,19.96
tabuleiro dos oliveiras,2027,20,125,625.81,725.94,11571.43,50,100,5000,57857150.0,8214006.57,2874902.3,5339104.27,9.23,10.84
morretes,2027,83,1691,490.0,568.4,10828.57,50,100,5000,54142850.0,6431446.0,2251006.1,4180439.9,7.72,12.95
meia praia,2027,632,3230,595.5,690.78,15714.29,50,100,5000,78571450.0,7816175.7,2735661.5,5080514.21,6.47,15.47
centro,2027,205,951,580.0,672.8,16666.67,50,100,5000,83333350.0,7612732.0,2664456.2,4948275.8,5.94,16.84
casa branca,2027,15,65,349.0,404.84,10499.5,50,100,5000,52497500.0,4580764.6,1603267.61,2977496.99,5.67,17.63
ilhota,2027,10,35,495.0,574.2,15697.67,50,100,5000,78488350.0,6497073.0,2273975.55,4223097.45,5.38,18.59
