beach_distance_category,amenity,listings_with,listings_without,median_with,median_without,median_diff,premium_pct,avg_with,avg_without,avg_diff,rank_in_category
01_premium_frente_mar,long_term_allowed,95,189,750.0,650.0,100.0,15.38,857.95,795.08,62.86,1
01_premium_frente_mar,pet_friendly,132,152,700.0,650.0,50.0,7.69,829.71,804.3,25.41,2
01_premium_frente_mar,has_outdoor_area,162,122,700.0,650.0,50.0,7.69,833.91,792.47,41.44,3
01_premium_frente_mar,has_security,183,101,668.67,650.0,18.67,2.87,811.26,824.9,-13.64,4
01_premium_frente_mar,has_bathroom_items,259,25,662.0,650.0,12.0,1.85,825.61,717.66,107.96,5
02_alta_proximidade_ate_200m,has_barbecue,184,40,588.0,399.5,188.5,47.18,641.13,536.61,104.52,1
02_alta_proximidade_ate_200m,has_elevator,141,83,600.0,450.0,150.0,33.33,659.13,560.18,98.95,2
02_alta_proximidade_ate_200m,has_home_office,138,86,595.0,486.75,108.25,22.24,632.36,606.6,25.76,3
02_alta_proximidade_ate_200m,has_bathroom_items,197,27,564.0,490.0,74.0,15.1,627.06,588.99,38.07,4
02_alta_proximidade_ate_200m,long_term_allowed,85,139,585.0,520.0,65.0,12.5,598.24,637.28,-39.05,5
03_media_proximidade_201m_500m,has_barbecue,284,72,500.0,401.0,99.0,24.69,629.52,667.52,-38.0,1
03_media_proximidade_201m_500m,pet_friendly,172,184,524.5,450.0,74.5,16.56,703.01,575.7,127.31,2
03_media_proximidade_201m_500m,has_elevator,221,135,500.0,480.0,20.0,4.17,652.87,611.57,41.29,3
03_media_proximidade_201m_500m,has_self_checkin,64,292,500.0,499.5,0.5,0.1,618.04,641.41,-23.37,4
03_media_proximidade_201m_500m,has_outdoor_area,211,145,500.0,500.0,0.0,0.0,626.96,652.12,-25.16,5
05_sem_informacao,has_barbecue,74,23,601.0,450.0,151.0,33.56,813.84,546.31,267.53,1
05_sem_informacao,has_home_office,65,32,600.0,500.0,100.0,20.0,672.44,908.76,-236.32,2
05_sem_informacao,has_elevator,46,51,600.5,516.0,84.5,16.38,890.37,624.16,266.21,3
05_sem_informacao,has_self_checkin,25,72,604.33,547.5,56.83,10.38,601.78,802.01,-200.22,4
05_sem_informacao,long_term_allowed,31,66,600.0,547.5,52.5,9.59,624.43,809.57,-185.14,5
