region,listings,avg_sale_price,median_sale_price,avg_area_m2,median_area_m2,avg_price_per_m2,median_price_per_m2
alto são bento,53,656715.53,620000.0,72.51,69.0,9220.49,8883.97
varzea,37,689278.95,650000.0,78.41,70.0,9340.59,9457.14
casa branca,65,2647740.4,890000.0,192.18,139.0,11466.24,10499.5
morretes,1691,964760.37,772000.0,82.12,70.0,11242.22,10828.57
jardim praia mar,102,758131.41,727490.5,66.28,64.0,11362.54,10874.45
sertão do trombudo,24,1844916.67,899500.0,136.96,103.5,11749.85,11150.7
tabuleiro dos oliveiras,125,825518.29,798730.0,72.9,69.0,11682.12,11571.43
"",92,2192269.01,1600000.0,163.51,134.5,13127.77,12012.31
tabuleiro,6,716000.0,699000.0,57.83,54.0,12470.65,12944.44
castelo branco,498,2002837.54,1693500.0,142.23,129.0,13920.49,13254.11
andorinha,770,2067542.26,1799000.0,141.76,127.0,14357.05,13973.12
canto da praia,127,2809551.32,2040000.0,164.02,119.0,16242.77,15101.01
ilhota,35,3555785.14,2740331.0,200.51,154.0,16029.27,15697.67
meia praia,3230,2698690.85,2247370.0,157.3,141.0,16744.48,15714.29
centro,951,3131070.46,2549150.0,162.81,144.0,18424.91,16666.67
estreito,5,4472000.0,4895000.0,216.4,230.0,22554.97,21282.61
